Year,Team,Name,G,Min,Pts,PPG,FGM,FGA,FGP,FTM,FTA,FTP,3PM,3PA,3PP,REB,RPG,AST,APG,STL,BLK,TO,MPPS,OEPM,DEPM
1995,ATL,Matt Bullard,46,460,174,3.8,66,162,.407,16,20,.800,26,72,.361,60,1.3,18,0.4,17,11,24,0.1169,0.0525,0.0252
1995,ATL,Donnie Boyce,8,41,24,3.0,9,23,.391,2,4,.500,4,8,.500,10,1.3,3,0.4,3,1,6,0.0104,0.0068,0.004
1995,ATL,Howard Nathan,5,15,13,2.6,5,9,.556,3,4,.750,0,1,.000,0,0.0,2,0.4,3,0,8,0.0038,0.0032,0.0011
1995,ATL,Todd Mundt,24,118,31,1.3,13,32,.406,5,8,.625,0,0,.000,25,1.0,2,0.1,1,4,3,0.03,0.0095,0.008
1995,ATL,Ron Grandison,4,19,4,1.0,2,4,.500,0,0,.000,0,1,.000,6,1.5,1,0.3,0,0,0,0.0048,0.0016,0.0015
1995,ATL,Tim Kempton,3,11,0,0.0,0,0,.000,0,0,.000,0,0,.000,2,0.7,1,0.3,0,0,1,0.0028,0.0003,0.0005
1995,BOS,Dino Radja,53,1984,1043,19.7,426,852,.500,191,275,.695,0,0,.000,522,9.8,83,1.6,48,81,117,0.5041,0.3313,0.1767
1995,BOS,Rick Fox,81,2588,1137,14.0,421,928,.454,196,254,.772,99,272,.364,450,5.6,369,4.6,113,41,216,0.6575,0.4947,0.1704
1995,BOS,Dana Barros,80,2328,1038,13.0,379,805,.471,130,147,.884,150,368,.408,192,2.4,306,3.8,58,3,120,0.5915,0.4412,0.0718
1995,BOS,David Wesley,82,2104,1009,12.3,338,736,.459,217,288,.753,116,272,.426,264,3.2,390,4.8,100,11,159,0.5346,0.4941,0.1087
1995,BOS,Todd Day,71,1636,849,12.0,277,746,.371,200,261,.766,95,277,.343,202,2.8,102,1.4,77,48,98,0.4157,0.3,0.0959
1995,BOS,Dee Brown,65,1591,695,10.7,246,617,.399,135,158,.854,68,220,.309,136,2.1,146,2.2,80,12,74,0.4042,0.2755,0.0688
1995,BOS,Eric Williams,64,1470,685,10.7,241,546,.441,200,298,.671,3,10,.300,217,3.4,70,1.1,56,11,88,0.3735,0.2425,0.08
1995,BOS,Sherman Douglas,10,234,98,9.8,36,84,.429,25,40,.625,1,7,.143,23,2.3,39,3.9,2,0,29,0.0595,0.0462,0.0066
1995,BOS,Greg Minor,78,1761,746,9.6,320,640,.500,99,130,.762,7,27,.259,257,3.3,146,1.9,36,11,78,0.4474,0.2783,0.0825
1995,BOS,Eric Montross,61,1432,442,7.2,196,346,.566,50,133,.376,0,0,.000,352,5.8,43,0.7,19,29,83,0.3638,0.1285,0.1059
1995,BOS,Pervis Ellison,69,1431,365,5.3,145,295,.492,75,117,.641,0,0,.000,451,6.5,62,0.9,39,99,84,0.3636,0.1259,0.1609
1995,BOS,Junior Burrough,61,495,189,3.1,64,170,.376,61,93,.656,0,0,.000,109,1.8,15,0.2,15,10,40,0.1258,0.0619,0.0366
1995,BOS,Alton Lister,57,647,133,2.3,47,96,.490,39,62,.629,0,0,.000,251,4.4,15,0.3,6,39,44,0.1644,0.0411,0.0785
1995,BOS,Thomas Hamilton,11,70,25,2.3,9,31,.290,7,18,.389,0,0,.000,22,2.0,1,0.1,0,9,9,0.0178,0.0064,0.0085
1995,BOS,Doug Smith,17,92,33,1.9,14,39,.359,5,8,.625,0,0,.000,22,1.3,4,0.2,3,0,11,0.0234,0.0092,0.0067
1995,BOS,Charles Claxton,3,7,2,0.7,1,2,.500,0,2,.000,0,0,.000,2,0.7,0,0.0,0,1,1,0.0018,0.0003,0.0008
1995,BOS,Todd Mundt,9,33,6,0.7,3,9,.333,0,0,.000,0,0,.000,3,0.3,1,0.1,1,1,0,0.0084,0.0021,0.0015
1995,BOS,Larry Sykes,1,2,0,0.0,0,0,.000,0,0,.000,0,0,.000,2,2.0,0,0.0,0,0,1,0.0005,-0.0003,0.0005
1995,CHA,Glen Rice,79,3142,1710,21.6,610,1296,.471,319,381,.837,171,403,.424,378,4.8,232,2.9,91,19,163,0.7983,0.6067,0.1368
1995,CHA,Larry Johnson,81,3274,1660,20.5,583,1225,.476,427,564,.757,67,183,.366,683,8.4,355,4.4,55,43,182,0.8318,0.6869,0.2081
1995,CHA,Kenny Anderson,38,1302,577,15.2,206,454,.454,109,150,.727,56,157,.357,102,2.7,328,8.6,59,6,88,0.3308,0.3394,0.0503
1995,CHA,Dell Curry,82,2371,1192,14.5,441,974,.453,146,171,.854,164,406,.404,264,3.2,176,2.1,108,25,130,0.6024,0.4075,0.1162
1995,CHA,Scott Burrell,20,693,263,13.2,92,206,.447,42,56,.750,37,98,.378,98,4.9,47,2.4,27,13,43,0.1761,0.0934,0.0393
1995,CHA,Kendall Gill,36,1265,464,12.9,179,372,.481,89,117,.761,17,54,.315,189,5.3,225,6.3,42,22,110,0.3214,0.2412,0.071
1995,CHA,Matt Geiger,77,2349,866,11.2,357,666,.536,149,205,.727,3,8,.375,649,8.4,60,0.8,46,63,137,0.5968,0.2574,0.2024
1995,CHA,Khalid Reeves,20,418,162,8.1,54,118,.458,43,51,.843,11,36,.306,40,2.0,72,3.6,16,1,30,0.1062,0.0856,0.0166
1995,CHA,Anthony Goldwire,42,621,231,5.5,76,189,.402,46,60,.767,33,83,.398,43,1.0,112,2.7,16,0,63,0.1578,0.1184,0.017
1995,CHA,Michael Adams,21,329,114,5.4,37,83,.446,26,35,.743,14,41,.341,22,1.0,67,3.2,21,4,25,0.0836,0.0675,0.0149
1995,CHA,Darrin Hancock,63,838,272,4.3,112,214,.523,47,73,.644,1,3,.333,98,1.6,47,0.7,28,5,56,0.2129,0.0937,0.0372
1995,CHA,George Zidek,71,888,281,4.0,105,248,.423,71,93,.763,0,0,.000,183,2.6,16,0.2,9,7,38,0.2256,0.0889,0.0521
